	tech1_bio1_tech2_bio1_m	tech1_bio2_tech2_bio2_m	tech1_bio1_tech1_bio2_m	tech1_bio1_tech2_bio2_m	tech2_bio1_tech1_bio2_m	tech2_bio1_tech2_bio2_m	tech1_bio1_tech2_bio1_v	tech1_bio2_tech2_bio2_v	tech1_bio1_tech1_bio2_v	tech1_bio1_tech2_bio2_v	tech2_bio1_tech1_bio2_v	tech2_bio1_tech2_bio2_v
t0	"[ 0.          0.20108805  0.40023389  0.61441235  0.827102    1.03919235
  1.25935644  1.4867944   1.72690293  1.97971821  2.24854249  2.51363376
  2.87575637  3.40876676]"	"[ 0.          0.12841552  0.25051637  0.37925878  0.51577556  0.64944314
  0.7806021   0.9160767   1.05377726  1.19323803  1.33414223  1.48187364
  1.6402346   1.80477753  1.98299983  2.16178918  2.3630126   2.57153096
  2.76735988  3.05104675  3.55536305]"	"[ 0.          0.17896907  0.34178658  0.52460184  0.71350926  0.89889259
  1.08546929  1.27103858  1.45483347  1.654551    1.8775668   2.10391212
  2.3145969   2.56738747  2.85671644  3.17306663  3.82877947]"	"[ 0.          0.17115681  0.32339519  0.4975831   0.6740082   0.84792482
  1.02023651  1.19847917  1.38399347  1.56739607  1.7529594   1.95434207
  2.18284613  2.42878015  2.64773679  2.85130132  3.15669186  3.7532777 ]"	"[ 0.          0.16379506  0.31378282  0.48362332  0.65920583  0.83164834
  1.00650558  1.18345423  1.36145872  1.54845216  1.74117414  1.93666832
  2.16290257  2.40761345  2.62424615  2.83045425  3.14864163  3.79339292]"	"[ 0.          0.15111033  0.29242634  0.45516382  0.6231794   0.78745929
  0.95316144  1.12642801  1.29968487  1.4748193   1.65769843  1.84292019
  2.02564673  2.20462671  2.40514098  2.61895146  2.82526577  3.13597983
  3.70812082]"	"[ 0.00282705  0.11964235  0.23818265  0.27988668  0.25072995  0.31229849
  0.4200623   0.53623971  0.70544956  0.92670995  1.18256577  1.48467872
  1.91853827  2.75112564]"	"[  1.10313440e-03   5.71134057e-02   1.72684036e-01   2.01277877e-01
   1.55890393e-01   1.26158102e-01   1.39914547e-01   1.67332484e-01
   2.18427387e-01   2.60273076e-01   3.17529746e-01   3.85036973e-01
   4.55234917e-01   5.65068754e-01   7.05933243e-01   8.76853681e-01
   1.06476230e+00   1.31526120e+00   1.49292859e+00   1.87744144e+00
   2.56089704e+00]"	"[  2.20189877e-03   1.11909271e-01   2.06357662e-01   2.40157381e-01
   1.97102711e-01   2.26962741e-01   2.91725231e-01   4.00115741e-01
   4.76620575e-01   5.91202426e-01   7.67953495e-01   1.00306297e+00
   1.20707704e+00   1.51455420e+00   1.84718337e+00   2.28027020e+00
   3.53942797e+00]"	"[  2.02282138e-03   1.08801217e-01   2.16567301e-01   2.02546955e-01
   1.89751109e-01   1.93088854e-01   2.51035050e-01   3.45719078e-01
   4.26708855e-01   5.09085206e-01   6.39310109e-01   8.12177720e-01
   1.05341572e+00   1.29036498e+00   1.56319448e+00   1.75434030e+00
   2.15035252e+00   3.02832655e+00]"	"[  1.90736200e-03   9.40412812e-02   2.09570349e-01   2.18671299e-01
   1.86279524e-01   1.93990053e-01   2.53579814e-01   3.28245836e-01
   4.06492385e-01   4.97339130e-01   6.31601837e-01   8.21093348e-01
   9.98145009e-01   1.24955896e+00   1.50391041e+00   1.76781708e+00
   2.26631540e+00   3.46246955e+00]"	"[  1.72828461e-03   8.07204074e-02   1.92105532e-01   2.08325193e-01
   1.78274931e-01   1.67287711e-01   2.17086832e-01   2.92782609e-01
   3.53697935e-01   4.21286870e-01   5.59810338e-01   6.93554029e-01
   8.35377368e-01   1.03387182e+00   1.22352616e+00   1.44967677e+00
   1.71496915e+00   2.09611551e+00   2.97092974e+00]"
t1	"[ 0.          0.17241347  0.32310366  0.48792691  0.6559505   0.82355763
  0.99094408  1.16178982  1.33667817  1.51713228  1.70491655  1.90244824
  2.09499469  2.28841117  2.49735857  2.72933463  2.95464313  3.15854408
  3.42090535  3.79021418  4.39441394]"	"[ 0.          0.15051156  0.28706813  0.43456172  0.58227033  0.72409008
  0.86309593  1.00505902  1.15230694  1.29872972  1.4460504   1.60058589
  1.76931035  1.94987094  2.13484147  2.3082228   2.48629518  2.71559976
  2.94343421  3.14283468  3.40412687  3.77363939  4.38991566]"	"[ 0.          0.15260117  0.29911055  0.45906589  0.62494563  0.78799527
  0.95412281  1.11998037  1.29019465  1.46526592  1.63528251  1.81027907
  1.99969698  2.19620665  2.38062501  2.57521571  2.835679    3.10306744
  3.34758792  3.68548443  4.22965843  5.59370067]"	"[ 0.          0.15456735  0.28295125  0.43008472  0.59318345  0.74657062
  0.90097342  1.06130101  1.2226465   1.37873655  1.53922037  1.70369282
  1.86383437  2.02156314  2.19533961  2.38289356  2.57778618  2.83983768
  3.11154347  3.36430709  3.70824928  4.25300051  5.70532405]"	"[ 0.          0.15228866  0.28992863  0.44117875  0.59616607  0.74647085
  0.90216439  1.06226989  1.22345766  1.39029659  1.56484309  1.73779614
  1.90472576  2.07303436  2.26361799  2.47136204  2.69531295  2.91474124
  3.10549065  3.35545564  3.69644689  4.24439678  5.63641443]"	"[ 0.          0.15478734  0.28917659  0.42918821  0.5721216   0.71836274
  0.86550864  1.0133091   1.16357636  1.31412277  1.46612099  1.62671008
  1.78493537  1.9485226   2.13399707  2.3059016   2.48026305  2.70657773
  2.92986677  3.12478858  3.38024048  3.73527402  4.303679    5.90510069]"	"[  1.68808496e-03   1.00937677e-01   2.41482757e-01   2.36406233e-01
   1.91795654e-01   2.08134499e-01   2.42122690e-01   3.22414987e-01
   3.77254477e-01   4.52596289e-01   5.67841873e-01   6.80095997e-01
   7.94286097e-01   9.40732933e-01   1.09452314e+00   1.35098583e+00
   1.55710829e+00   1.80959148e+00   2.12299899e+00   2.51068631e+00
   3.33300454e+00]"	"[  1.22048774e-03   7.59286830e-02   1.85635647e-01   2.46399461e-01
   2.01150453e-01   1.67853708e-01   1.88091301e-01   2.17243328e-01
   2.65222916e-01   3.20999493e-01   3.78946016e-01   4.42747166e-01
   5.38672651e-01   6.53635368e-01   7.86058534e-01   9.13591153e-01
   1.10345777e+00   1.28458720e+00   1.52813846e+00   1.67271984e+00
   1.99291763e+00   2.35787264e+00   2.90942361e+00]"	"[  1.62778459e-03   7.46451111e-02   1.92413502e-01   2.69057841e-01
   2.20938408e-01   2.15373610e-01   2.35082005e-01   2.93068017e-01
   3.60460930e-01   4.52571961e-01   5.35350733e-01   6.42236309e-01
   7.41042922e-01   8.95453974e-01   1.06655932e+00   1.22989120e+00
   1.52007840e+00   1.85626019e+00   2.16801267e+00   2.59924812e+00
   3.18840074e+00   4.73978909e+00]"	"[  1.45286212e-03   8.03323522e-02   1.84496024e-01   2.55144439e-01
   2.11212565e-01   1.92386951e-01   2.21564744e-01   2.62102472e-01
   3.11674766e-01   3.88448165e-01   4.73397309e-01   5.60268287e-01
   6.57659742e-01   7.53178458e-01   8.81828964e-01   1.03537742e+00
   1.26671513e+00   1.44965970e+00   1.72930105e+00   2.12174996e+00
   2.35219707e+00   2.96768542e+00   4.51213471e+00]"	"[  1.45571058e-03   7.09831221e-02   1.91290230e-01   2.76130471e-01
   2.11983254e-01   1.95854149e-01   2.18597402e-01   2.47806021e-01
   3.14381768e-01   4.30488571e-01   4.55270849e-01   6.01537500e-01
   6.00515209e-01   8.72738059e-01   8.83299400e-01   1.11417851e+00
   1.35071624e+00   1.69768674e+00   1.71178680e+00   2.09964590e+00
   2.52756027e+00   3.03335919e+00   4.57988161e+00]"	"[  1.28078812e-03   8.24737702e-02   1.99592785e-01   2.40937139e-01
   1.98783091e-01   1.83142449e-01   1.99582207e-01   2.30430257e-01
   2.77522930e-01   3.42478856e-01   4.06324587e-01   4.80315574e-01
   5.57210626e-01   6.73235948e-01   7.90593104e-01   9.57024366e-01
   1.08940572e+00   1.33327536e+00   1.49991188e+00   1.74039923e+00
   1.95528619e+00   2.24826077e+00   2.76370947e+00   4.77132685e+00]"
t2	"[ 0.          0.12125864  0.28304731  0.43617858  0.59028122  0.74237773
  0.89832821  1.05325547  1.20670702  1.36042635  1.52356354  1.69639751
  1.87928195  2.06491949  2.24423214  2.43753193  2.63561416  2.83459043
  3.08459651  3.32234759  3.51956431  3.76303647  4.08734436  4.54804423
  5.32884506]"	"[ 0.          0.15079092  0.37149961  0.57755949  0.78695422  0.99392224
  1.19830097  1.40473645  1.61511276  1.82423738  2.03574866  2.25746474
  2.4867996   2.74453019  3.03176663  3.35198643  3.67526649  3.97393073
  4.39786463  5.09439368  6.98301259]"	"[ 0.          0.14061044  0.35062769  0.54042968  0.73275285  0.92446658
  1.11759807  1.31448832  1.51863966  1.72889359  1.93190386  2.12747538
  2.32084105  2.53512269  2.75797484  2.99442803  3.31716514  3.6501464
  3.96181424  4.4206491   5.22096434]"	"[ 0.          0.12469572  0.32112216  0.4969707   0.67794176  0.8586998
  1.03978588  1.22053942  1.40038801  1.5799076   1.7626423   1.9581726
  2.16278675  2.36793664  2.59724316  2.84699475  3.11496498  3.3783651
  3.60761187  3.90722798  4.33983163  5.06645352]"	"[ 0.          0.12680548  0.31461861  0.49013242  0.67220409  0.85460109
  1.03637816  1.21588361  1.39697412  1.57607246  1.75847417  1.95445472
  2.15900813  2.3638102   2.59333716  2.84375565  3.11688114  3.3895662
  3.62422277  3.93197058  4.37825569  5.17180774]"	"[ 0.          0.12307136  0.31715551  0.48478974  0.64841672  0.80963729
  0.97793761  1.14584919  1.31129915  1.48252488  1.65731866  1.82826194
  2.00125595  2.16795741  2.34671242  2.53006118  2.71019422  2.94720722
  3.16904689  3.35262579  3.58374479  3.87611805  4.29697026  5.01344652]"	"[  1.37280920e-03   5.38473138e-02   2.03619339e-01   2.94007315e-01
   2.62552552e-01   2.16878025e-01   2.24771386e-01   2.41341991e-01
   2.91466853e-01   3.38104017e-01   4.01235422e-01   4.61011688e-01
   5.61308220e-01   6.47167974e-01   7.38411203e-01   8.80353555e-01
   1.02464247e+00   1.14460575e+00   1.35029651e+00   1.49216435e+00
   1.68736574e+00   1.84477433e+00   2.15871044e+00   2.55119797e+00
   3.33808087e+00]"	"[  2.48416589e-03   7.31040775e-02   3.12344764e-01   4.20932955e-01
   3.44173036e-01   3.24710177e-01   3.67795375e-01   4.41306189e-01
   5.35335462e-01   6.41491932e-01   7.54591560e-01   8.82741207e-01
   1.05962091e+00   1.24032842e+00   1.48299817e+00   1.92115935e+00
   2.18646645e+00   2.61747114e+00   3.10413206e+00   4.04785208e+00
   5.83365823e+00]"	"[  2.25502617e-03   7.42145463e-02   3.26638063e-01   5.41421152e-01
   6.10076419e-01   6.36965347e-01   7.01559055e-01   8.15143086e-01
   1.00774795e+00   1.22132840e+00   1.37185316e+00   1.72124068e+00
   1.98228620e+00   2.24343107e+00   2.55594341e+00   3.01151279e+00
   3.67697390e+00   4.47952062e+00   4.92974941e+00   6.24694696e+00
   7.86914246e+00]"	"[  1.86852010e-03   5.93059564e-02   2.98629844e-01   4.93790383e-01
   5.77296325e-01   5.55998217e-01   6.31417806e-01   7.52955314e-01
   8.51097733e-01   1.03176133e+00   1.20065641e+00   1.40193818e+00
   1.68732308e+00   1.97544105e+00   2.29731895e+00   2.73550729e+00
   3.23278394e+00   3.86353745e+00   4.14996215e+00   4.80354746e+00
   5.64905718e+00   7.58064952e+00]"	"[  1.98845499e-03   6.55925328e-02   2.82650386e-01   4.79472035e-01
   5.68880125e-01   5.87372762e-01   6.47585765e-01   7.20111907e-01
   8.53428701e-01   1.04392999e+00   1.19943380e+00   1.43949576e+00
   1.68478944e+00   1.99623541e+00   2.24222909e+00   2.64580967e+00
   3.23376228e+00   3.72556054e+00   4.05548448e+00   4.81717586e+00
   5.79624930e+00   7.48178247e+00]"	"[  1.60194892e-03   5.78021444e-02   2.97528593e-01   4.92777093e-01
   4.88541940e-01   5.53461972e-01   6.15195452e-01   6.33674888e-01
   7.52471931e-01   9.18934603e-01   1.06285195e+00   1.24221852e+00
   1.43498826e+00   1.65714447e+00   1.82790050e+00   2.18430500e+00
   2.45838110e+00   2.83707365e+00   3.26421201e+00   3.59004934e+00
   4.02470653e+00   4.52534302e+00   5.51277335e+00   7.03296064e+00]"
