	tech1_bio1_tech2_bio1_m	tech1_bio2_tech2_bio2_m	tech1_bio1_tech1_bio2_m	tech1_bio1_tech2_bio2_m	tech2_bio1_tech1_bio2_m	tech2_bio1_tech2_bio2_m	tech1_bio1_tech2_bio1_v	tech1_bio2_tech2_bio2_v	tech1_bio1_tech1_bio2_v	tech1_bio1_tech2_bio2_v	tech2_bio1_tech1_bio2_v	tech2_bio1_tech2_bio2_v
t0	"[  0.           0.51083387   0.70899824   0.90070339   1.124525
   1.32857599   1.50274903   1.69632176   1.9079114    2.1094785
   2.31176151   2.5242697    2.71257243   2.87417662   3.04927221
   3.23993697   3.44665112   3.68075791   3.94566787   4.16774026
   4.33221982   4.51754494   4.72170245   4.94339805   5.19383645
   5.48239126   5.81781489   6.2138989    6.70009164   7.32840369
   8.14764222   9.35910161  11.61358946]"	"[  0.           0.51880396   0.7195491    0.85784653   0.98152428
   1.15439464   1.35305575   1.52318545   1.67244874   1.81209269
   1.94571118   2.07703858   2.20929404   2.34268939   2.48048686
   2.6261848    2.78142332   2.94528183   3.12012818   3.31321462
   3.52723569   3.70547038   3.83469759   3.97209286   4.1193217
   4.28035604   4.45826102   4.65954012   4.87761421   5.12210162
   5.40059476   5.72396      6.11048375   6.58505614   7.18120362
   7.98344112   9.15298681  11.21703722]"	"[  0.           0.51442778   0.71281889   0.91077291   1.14204371
   1.34302007   1.51435098   1.66803719   1.80868756   1.94371082
   2.07691059   2.20756701   2.34280156   2.48299374   2.62565075
   2.77945548   2.9444094    3.12407369   3.31859283   3.53847473
   3.71645834   3.84391257   3.98338209   4.13497949   4.30009768
   4.47714409   4.67363268   4.89427267   5.14057004   5.42176792
   5.74686972   6.13215472   6.61220713   7.21585882   8.00055685
   9.17879406  11.23467581]"	"[  0.           0.51233654   0.71019602   0.90572324   1.13586739
   1.33590311   1.51014133   1.66367096   1.80647093   1.94125501
   2.07308064   2.20673192   2.34261705   2.48247284   2.62805476
   2.78229881   2.94617452   3.1265509    3.32191482   3.53878355
   3.78032861   3.98219573   4.13185481   4.29478239   4.47267476
   4.67420403   4.89194376   5.13157372   5.4126904    5.7415719
   6.12766503   6.60558414   7.200049     7.99096944   9.15233942
  11.20187195]"	"[  0.           0.51370906   0.71099262   0.90176163   1.13050762
   1.33136361   1.50587907   1.66047988   1.83689017   2.03582256
   2.2371465    2.40971668   2.55304675   2.70223611   2.86316431
   3.03684191   3.22272795   3.42797632   3.65922992   3.91964173
   4.14206345   4.30386788   4.48345638   4.68382146   4.90527757
   5.15049369   5.43399079   5.76295074   6.15045914   6.62539486
   7.2242263    8.03009858   9.21223214  11.31730897]"	"[  0.           0.51445619   0.71039847   0.90069058   1.1267442
   1.32811009   1.50261967   1.65866156   1.83737386   2.03923772
   2.23971496   2.44799964   2.63039935   2.78549356   2.95043925
   3.1299753    3.32574553   3.54315603   3.78653672   4.06569396
   4.30664654   4.48688637   4.68389774   4.90242715   5.15365317
   5.43831659   5.76573651   6.16047406   6.63216074   7.24802314
   8.04899548   9.21804073  11.35143023]"	"[  1.45587364e-03   9.57051651e-01   1.57775567e+00   2.06292667e+00
   1.81383387e+00   1.38193994e+00   8.75607515e-01   6.33396660e-01
   4.90338642e-01   4.92099146e-01   5.10398861e-01   5.60533230e-01
   5.88404415e-01   6.45375058e-01   6.94447603e-01   8.03694973e-01
   8.58048901e-01   9.29432732e-01   1.09609921e+00   1.20487540e+00
   1.30916115e+00   1.37677903e+00   1.55760439e+00   1.73048362e+00
   1.89402392e+00   2.13273780e+00   2.55728100e+00   2.87377132e+00
   3.60192426e+00   4.50213570e+00   5.59967078e+00   7.80793906e+00
   1.17507162e+01]"	"[  8.15702816e-04   9.37594724e-01   1.62577679e+00   1.88707849e+00
   1.85538687e+00   1.54821646e+00   9.27656565e-01   6.19450748e-01
   5.13135737e-01   4.32460253e-01   3.81036462e-01   3.73638778e-01
   3.94648360e-01   3.93637094e-01   4.16919204e-01   4.29275653e-01
   4.90569418e-01   5.26585645e-01   5.76463713e-01   6.37653956e-01
   7.18844855e-01   8.12151875e-01   8.56500055e-01   8.69078545e-01
   9.79842204e-01   1.02038250e+00   1.13081980e+00   1.28815642e+00
   1.38229102e+00   1.58426733e+00   1.77266564e+00   2.03315110e+00
   2.43788679e+00   2.82592519e+00   3.61953262e+00   4.41424058e+00
   6.04426563e+00   9.55703259e+00]"	"[  9.45090475e-04   9.23776719e-01   1.57506289e+00   2.02083690e+00
   1.54956044e+00   1.02716369e+00   7.16023356e-01   5.51390826e-01
   4.35902006e-01   4.30939529e-01   4.40366607e-01   4.05135906e-01
   4.37670536e-01   4.55201109e-01   4.76418484e-01   5.23836824e-01
   5.59955820e-01   6.17823802e-01   7.00604874e-01   7.73849780e-01
   8.35797608e-01   8.88209691e-01   9.43304384e-01   1.03904661e+00
   1.08557897e+00   1.25935197e+00   1.32781244e+00   1.46159798e+00
   1.69592187e+00   1.85350576e+00   2.22901600e+00   2.53872331e+00
   3.04671504e+00   3.79797599e+00   4.78694984e+00   6.53782134e+00
   1.01664611e+01]"	"[  1.04516381e-03   9.41756539e-01   1.55891898e+00   1.98736732e+00
   1.71342561e+00   1.17030430e+00   7.28786297e-01   5.74720364e-01
   4.32022371e-01   4.82812115e-01   4.27435151e-01   4.31156992e-01
   4.58636230e-01   4.83341184e-01   4.89241335e-01   5.29648453e-01
   5.79182366e-01   6.55566390e-01   7.10198612e-01   8.13511106e-01
   9.00649346e-01   9.96164524e-01   1.03674810e+00   1.17141298e+00
   1.26559160e+00   1.40673566e+00   1.55496180e+00   1.66894891e+00
   1.99564266e+00   2.22401124e+00   2.60667970e+00   3.17176970e+00
   4.04443848e+00   4.92126065e+00   6.69805616e+00   1.07594327e+01]"	"[  1.22641265e-03   9.46701865e-01   1.63598021e+00   2.05706008e+00
   1.72254876e+00   1.25783450e+00   8.30842702e-01   5.71906448e-01
   5.07139581e-01   4.52451870e-01   4.71538711e-01   4.86682622e-01
   5.23251561e-01   5.52995391e-01   6.09328015e-01   6.65029267e-01
   7.21730653e-01   8.12344258e-01   9.24615282e-01   9.82599682e-01
   1.14748204e+00   1.23271055e+00   1.37953748e+00   1.51459109e+00
   1.68592473e+00   1.86655062e+00   2.01662826e+00   2.43226310e+00
   2.84339933e+00   3.31222453e+00   4.06674026e+00   5.09528944e+00
   7.09013734e+00   1.07671586e+01]"	"[  1.32648599e-03   9.59019809e-01   1.59461168e+00   2.04524695e+00
   1.80546015e+00   1.27918277e+00   8.92772657e-01   6.48356183e-01
   5.29386010e-01   4.62467403e-01   4.94641400e-01   5.20577750e-01
   5.50258190e-01   6.21465842e-01   6.53466562e-01   7.05916258e-01
   8.01794791e-01   9.06672014e-01   9.73153873e-01   1.12482172e+00
   1.25318804e+00   1.38439983e+00   1.57511660e+00   1.69417838e+00
   1.87245174e+00   2.14682525e+00   2.46528813e+00   2.82496386e+00
   3.40991818e+00   4.35604771e+00   5.39137366e+00   7.39144808e+00
   1.14772060e+01]"
t1	"[  0.           0.33507327   0.62104203   0.84780554   1.05002467
   1.25891987   1.46659602   1.66068407   1.8412103    2.0127028
   2.21723854   2.42258844   2.59127879   2.76583834   2.95586058
   3.15506309   3.37394513   3.61813641   3.8895469    4.19858913
   4.45985876   4.65331187   4.86710943   5.10453055   5.37228359
   5.66931639   6.01411999   6.42974206   6.91905541   7.52485396
   8.34604167   9.48260773  11.27721597  15.67402436]"	"[  0.           0.3342963    0.55954989   0.74665414   0.95785976
   1.17021154   1.37838865   1.57604979   1.75945987   1.92941722
   2.09313672   2.25285638   2.41492218   2.58148151   2.75411531
   2.93778191   3.1358087    3.35110372   3.59014347   3.78568643
   3.92851406   4.08147539   4.24702739   4.42382666   4.62230316
   4.83497868   5.06939406   5.33082042   5.62264688   5.9645174
   6.36561445   6.84678661   7.46615836   8.28118747   9.4217323
  11.19700877  15.41694173]"	"[  0.           0.33728767   0.55737548   0.7434173    0.95461994
   1.16465974   1.37224661   1.56992935   1.75433383   1.92520218
   2.09010369   2.252276     2.41705382   2.58673814   2.76206147
   2.94532835   3.14198014   3.35774221   3.59530267   3.86278547
   4.08784697   4.25524137   4.43838854   4.63077636   4.8401363
   5.06945639   5.33188562   5.62763852   5.9726902    6.37712234
   6.85567288   7.46907238   8.25606881   9.37055342  11.1361919
  15.21456924]"	"[  0.           0.33605237   0.62177254   0.84799947   1.05592642
   1.26820412   1.47406851   1.66406834   1.8420134    2.00964855
   2.17295916   2.33278439   2.49750647   2.67055087   2.84837902
   3.03814818   3.24398078   3.47003956   3.72371559   3.93347598
   4.08472939   4.24852272   4.42615087   4.62044008   4.82836236
   5.06197492   5.3235747    5.62164301   5.96276894   6.36192993
   6.84796486   7.44959873   8.2372888    9.33039615  11.05515765
  14.9377844 ]"	"[  0.           0.33460276   0.61956269   0.84234601   1.04532037
   1.25368669   1.45957209   1.65299967   1.83160228   1.99970895
   2.16400817   2.32810442   2.49263138   2.66593328   2.84503491
   3.03496169   3.24466398   3.47211651   3.72301453   4.00688339
   4.24914463   4.42986238   4.62428749   4.83924258   5.07117998
   5.33191756   5.62685944   5.96898733   6.36772948   6.84801849
   7.44881382   8.24114102   9.35534784  11.11193611  15.02835718]"	"[  0.           0.33601714   0.6211535    0.8486847    1.0535037
   1.26241997   1.46805094   1.66018468   1.83893577   2.00630862
   2.17050501   2.33303518   2.49654652   2.6665959    2.84637724
   3.03908642   3.24734345   3.47553334   3.72996181   4.02007413
   4.26121561   4.4371302    4.6282696    4.84163759   5.07559506
   5.3400316    5.6377524    5.98519811   6.38842803   6.86889831
   7.47332653   8.28082758   9.39785357  11.1630929   15.2548434 ]"	"[  1.75019786e-03   3.22850165e-01   1.20234429e+00   2.09144133e+00
   2.58871829e+00   2.36240628e+00   1.58669619e+00   1.26527632e+00
   9.78119835e-01   7.55353191e-01   7.15710925e-01   6.55123059e-01
   6.42659321e-01   7.18005572e-01   7.39236751e-01   8.15588020e-01
   8.89026013e-01   1.03699734e+00   1.13922689e+00   1.33882099e+00
   1.52836858e+00   1.57672770e+00   1.75792924e+00   1.91866321e+00
   2.21980975e+00   2.45419022e+00   2.81556743e+00   3.23835825e+00
   3.84295004e+00   4.77891757e+00   6.01848049e+00   7.91638832e+00
   1.14324612e+01   2.08391249e+01]"	"[  1.10523505e-03   3.08810680e-01   9.09514305e-01   1.62625998e+00
   2.36311408e+00   2.45318524e+00   1.86953975e+00   1.36278870e+00
   9.63524314e-01   7.78871886e-01   6.72158822e-01   5.70889369e-01
   5.93817258e-01   6.33072853e-01   6.67947494e-01   6.88163978e-01
   7.42587890e-01   8.30519983e-01   9.41683864e-01   1.04886950e+00
   1.09939873e+00   1.18032132e+00   1.31235961e+00   1.37621910e+00
   1.51315085e+00   1.62739754e+00   1.82323821e+00   2.00108378e+00
   2.42941647e+00   2.65445796e+00   3.02244873e+00   3.51007113e+00
   4.41769968e+00   5.46642886e+00   7.73516793e+00   1.06977292e+01
   2.01761247e+01]"	"[  1.24719398e-03   3.22209769e-01   9.27444612e-01   1.68066725e+00
   2.38518841e+00   2.44149026e+00   2.08520118e+00   1.38467459e+00
   9.32103434e-01   8.74869136e-01   6.63446013e-01   6.41282171e-01
   6.37039812e-01   6.69625938e-01   6.69976356e-01   7.34354934e-01
   7.81360620e-01   8.98733423e-01   9.94783511e-01   1.15323897e+00
   1.25675351e+00   1.33242014e+00   1.44242801e+00   1.58696500e+00
   1.73513557e+00   1.92943767e+00   2.13190155e+00   2.32198482e+00
   2.80726936e+00   3.27090568e+00   3.77800485e+00   4.43628385e+00
   5.76796069e+00   7.52452699e+00   1.08385972e+01   1.98221963e+01]"	"[  1.33258756e-03   3.07166210e-01   1.20648169e+00   1.96305981e+00
   2.61527128e+00   2.17270824e+00   1.67580642e+00   1.14437969e+00
   9.55991091e-01   7.04884863e-01   6.34500324e-01   6.17909641e-01
   6.13226165e-01   6.69769254e-01   6.97184339e-01   7.81477138e-01
   8.35532517e-01   9.45997223e-01   1.05822895e+00   1.22858159e+00
   1.24896609e+00   1.31281037e+00   1.45773057e+00   1.51967732e+00
   1.72178129e+00   1.89206649e+00   2.06550632e+00   2.38600752e+00
   2.65536614e+00   3.12473625e+00   3.65338874e+00   4.51466971e+00
   5.75660679e+00   7.25741110e+00   1.04385928e+01   1.91142071e+01]"	"[  1.52284535e-03   3.11558848e-01   1.20025769e+00   2.03358416e+00
   2.58023747e+00   2.57502412e+00   1.70790093e+00   1.31952098e+00
   1.06639888e+00   8.49575151e-01   7.09559658e-01   7.20096156e-01
   6.73049952e-01   7.41758891e-01   7.41130279e-01   8.02898551e-01
   9.22548235e-01   9.74010451e-01   1.13299852e+00   1.29003591e+00
   1.40306253e+00   1.51344493e+00   1.67412596e+00   1.79359654e+00
   1.97820152e+00   2.18549640e+00   2.50635601e+00   2.80304355e+00
   3.33186905e+00   3.89698153e+00   4.78851434e+00   5.89382588e+00
   8.27044596e+00   1.11330259e+01   2.05866810e+01]"	"[  1.60823893e-03   3.06886171e-01   1.17241553e+00   2.11257594e+00
   2.49322988e+00   2.44793198e+00   1.73177224e+00   1.26000113e+00
   9.82066004e-01   8.13643348e-01   6.63351113e-01   7.06661609e-01
   6.59386004e-01   7.03716294e-01   7.27634658e-01   8.33945361e-01
   9.07543501e-01   9.41070944e-01   1.11706822e+00   1.26371102e+00
   1.47666945e+00   1.49426398e+00   1.61538475e+00   1.79300966e+00
   1.93847810e+00   2.24304168e+00   2.51022608e+00   2.82905513e+00
   3.23989428e+00   3.89184820e+00   4.89087088e+00   6.04870979e+00
   8.02277101e+00   1.11563062e+01   1.99079626e+01]"
t2	"[  0.           0.30998997   0.65333926   0.81278776   0.95881464
   1.10057794   1.24375547   1.38234714   1.51200665   1.63501541
   1.80323512   2.0095026    2.20745421   2.39662597   2.58754787
   2.78498649   2.98912131   3.20798149   3.38213371   3.50280227
   3.63028033   3.76452462   3.90814976   4.05958146   4.22029167
   4.3970936    4.58858715   4.79428484   5.0172548    5.25993536
   5.53983186   5.85839066   6.21546061   6.64014677   7.16152467
   7.78048858   8.59121278   9.71437183  11.51599328  15.42530226]"	"[  0.           0.32682002   0.66258271   0.88566969   1.1527698
   1.41972579   1.67086102   1.89195417   2.09721042   2.29193983
   2.48231647   2.6748879    2.87151354   3.07932038   3.30093327
   3.54643471   3.81484378   4.11719628   4.36832033   4.55415267
   4.75810665   4.97890123   5.22842083   5.50686641   5.81772646
   6.18143671   6.60548557   7.11217999   7.7446534    8.56924693
   9.7427337   11.61277441  15.75048623]"	"[  0.           0.30047322   0.63862015   0.78542787   0.95520197
   1.17009203   1.39053954   1.61745445   1.83310497   2.03779861
   2.23516764   2.4269514    2.62058501   2.82132063   3.02742759
   3.24525253   3.48285052   3.74523062   3.95854337   4.11479763
   4.282937     4.46422342   4.65985696   4.87559992   5.10111787
   5.36026021   5.65549747   5.98883228   6.38336056   6.84110822
   7.39980407   8.11597156   9.06520204  10.45017824  13.01481164]"	"[  0.           0.29091391   0.63364543   0.83870638   1.06046935
   1.2774921    1.50133091   1.72159585   1.93143617   2.13359071
   2.32861447   2.52312052   2.72044355   2.92360862   3.13603643
   3.36547023   3.61280282   3.81758683   3.9666596    4.12206286
   4.28688204   4.47018133   4.66579262   4.87426687   5.10820361
   5.36782681   5.65861035   5.99112384   6.38516021   6.84981625
   7.40803752   8.10880227   9.04892268  10.45075501  12.94592526]"	"[  0.           0.29600555   0.63556533   0.83955526   1.05928212
   1.27867594   1.50245944   1.72226606   1.93007938   2.13243755
   2.32777924   2.52039621   2.71716408   2.91982027   3.1334437
   3.36057488   3.60537017   3.80839979   3.95540116   4.11022007
   4.27630166   4.45386124   4.64930685   4.86373681   5.09797686
   5.35944357   5.64787585   5.97634813   6.36574331   6.82304729
   7.38406369   8.08852505   9.03542109  10.41058988  12.91506289]"	"[  0.           0.28479591   0.63429726   0.83819052   1.05745013
   1.27551213   1.49713281   1.71775963   1.93051899   2.13223561
   2.32593732   2.51902095   2.71525469   2.92199618   3.13760754
   3.36434858   3.6141872    3.88736942   4.11564339   4.28326803
   4.46630632   4.66212314   4.87260021   5.10449208   5.36760573
   5.658081     5.98737356   6.37239267   6.84065603   7.39563853
   8.09329833   9.03849332  10.42624976  12.90682135]"	"[  8.25191494e-04   4.27631684e-01   1.50192769e+00   2.18618547e+00
   2.68733923e+00   2.79876116e+00   2.50538647e+00   1.92866851e+00
   1.73783717e+00   1.25350158e+00   8.58555741e-01   6.43442408e-01
   5.34556635e-01   5.74568794e-01   4.80540270e-01   5.37595491e-01
   5.69116743e-01   5.99834796e-01   7.00987754e-01   6.58192977e-01
   8.18052317e-01   7.38033711e-01   8.53131886e-01   7.95588463e-01
   9.70799528e-01   9.77223045e-01   1.10624232e+00   1.24455325e+00
   1.28936013e+00   1.47240003e+00   1.50131706e+00   1.85846448e+00
   1.99464735e+00   2.47588142e+00   2.85547258e+00   3.50630931e+00
   4.43523905e+00   5.71258307e+00   8.59544975e+00   1.52250710e+01]"	"[  1.71303468e-03   4.91499612e-01   1.55565733e+00   2.62697633e+00
   3.16402739e+00   2.64734451e+00   1.60567974e+00   1.12457312e+00
   8.67765212e-01   8.21300164e-01   6.28676923e-01   7.62840237e-01
   7.33936157e-01   7.50301810e-01   9.13092368e-01   9.23240912e-01
   1.07455396e+00   1.16402025e+00   1.51475013e+00   1.47367363e+00
   1.73278326e+00   1.70040996e+00   2.13332933e+00   2.23945813e+00
   2.43040016e+00   2.72417675e+00   3.17268030e+00   3.93001959e+00
   4.65038948e+00   5.99563748e+00   7.85350423e+00   1.09883581e+01
   2.07757465e+01]"	"[  1.23839175e-03   4.44667849e-01   1.51229241e+00   2.21012458e+00
   3.10664967e+00   3.81649087e+00   3.92092519e+00   3.46103916e+00
   2.76276643e+00   2.08595637e+00   1.81888346e+00   1.68692044e+00
   1.62175360e+00   1.58338549e+00   1.66287491e+00   1.73814007e+00
   1.85195279e+00   2.14796865e+00   2.26357987e+00   2.48083604e+00
   2.62967907e+00   2.77283879e+00   2.96439017e+00   3.30538378e+00
   3.67919180e+00   3.92333705e+00   4.34492379e+00   4.98047812e+00
   5.72931772e+00   6.51735198e+00   7.63788732e+00   9.65274572e+00
   1.24018593e+01   1.66198509e+01   2.62757342e+01]"	"[  1.28403183e-03   4.17566152e-01   1.48855748e+00   2.47285772e+00
   3.58690884e+00   4.02178951e+00   3.69344001e+00   3.05588423e+00
   2.45345172e+00   2.09166981e+00   1.75098521e+00   1.64234535e+00
   1.52982894e+00   1.64374475e+00   1.70008831e+00   1.84021665e+00
   2.07806356e+00   2.15149240e+00   2.39251133e+00   2.47473403e+00
   2.68366568e+00   2.82683441e+00   3.13407428e+00   3.43540338e+00
   3.55046711e+00   3.94449631e+00   4.32537556e+00   4.85234185e+00
   5.82035372e+00   6.76368745e+00   7.88458247e+00   9.59639322e+00
   1.25267441e+01   1.68737792e+01   2.57433132e+01]"	"[  1.25419434e-03   4.36128969e-01   1.48947686e+00   2.48958398e+00
   3.58911833e+00   3.96698290e+00   3.66877542e+00   3.04812021e+00
   2.48398030e+00   1.89074465e+00   1.77112590e+00   1.62568179e+00
   1.60357815e+00   1.55366969e+00   1.68212584e+00   1.85109956e+00
   1.97137348e+00   2.18259834e+00   2.25009683e+00   2.42694213e+00
   2.62406066e+00   2.87574659e+00   2.97224192e+00   3.23838972e+00
   3.57079673e+00   4.06893071e+00   4.58030885e+00   5.06498298e+00
   5.79896296e+00   6.49503706e+00   7.66104806e+00   9.73708531e+00
   1.23693239e+01   1.66163672e+01   2.58619471e+01]"	"[  1.29983442e-03   4.05243215e-01   1.48648199e+00   2.48159814e+00
   3.53132851e+00   4.01751485e+00   3.73215402e+00   2.93626320e+00
   2.58435782e+00   1.95204116e+00   1.75004343e+00   1.62637664e+00
   1.58174409e+00   1.62488060e+00   1.68232762e+00   1.79284471e+00
   2.01314668e+00   2.23568650e+00   2.48333695e+00   2.59557019e+00
   2.87409808e+00   3.02545961e+00   3.22158225e+00   3.62948177e+00
   3.97197600e+00   4.45149650e+00   5.25801042e+00   5.78754468e+00
   6.61115874e+00   8.02693530e+00   9.72369666e+00   1.23255611e+01
   1.66272164e+01   2.56744529e+01]"
