	tech1_bio1_tech2_bio1_m	tech1_bio2_tech2_bio2_m	tech1_bio1_tech1_bio2_m	tech1_bio1_tech2_bio2_m	tech2_bio1_tech1_bio2_m	tech2_bio1_tech2_bio2_m	tech1_bio1_tech2_bio1_v	tech1_bio2_tech2_bio2_v	tech1_bio1_tech1_bio2_v	tech1_bio1_tech2_bio2_v	tech2_bio1_tech1_bio2_v	tech2_bio1_tech2_bio2_v
t0	"[ 0.          0.42302978  0.87912566  1.3471662   1.8218414   2.34034506
  2.86422134  3.41171738  4.01727937  4.6599275   5.47877748]"	"[ 0.          0.36152057  0.69365782  1.0449604   1.37390473  1.70818479
  2.06137602  2.4272324   2.81987742  3.19895914  3.56944461  3.95750658
  4.33256342  4.87647602  5.90104233]"	"[ 0.          0.37519045  0.73325903  1.13473207  1.54704997  1.94589556
  2.36329012  2.77933987  3.19507129  3.64498474  4.25897462  5.0690529
  6.35332487]"	"[ 0.          0.32920282  0.635058    1.00637244  1.39595168  1.76392103
  2.15797701  2.58900451  2.99293257  3.36081113  3.8161145   4.34613593
  4.95503067  6.18393548]"	"[ 0.          0.37149087  0.75430266  1.15291599  1.56679054  1.998599
  2.43547827  2.88886513  3.36442013  3.92461851  4.47897577  5.10181933
  6.41410151]"	"[ 0.          0.32763416  0.65965669  1.04850326  1.43425475  1.81006763
  2.18504924  2.58806301  2.99555612  3.46749121  4.16477961  4.98019125
  6.23162669]"	"[ 0.01260465  0.60482933  1.04296933  0.99978887  1.17713206  1.71812059
  2.6740194   3.27963767  4.98254309  7.31327937  9.80055255]"	"[  6.03504125e-03   4.47798234e-01   8.53283759e-01   6.95337560e-01
   5.79614383e-01   7.19583177e-01   9.51160223e-01   1.32038893e+00
   1.83774131e+00   2.43191934e+00   3.01883257e+00   3.81363499e+00
   4.44009029e+00   5.75049418e+00   8.34830569e+00]"	"[  9.83664568e-03   5.00432116e-01   9.53688653e-01   9.12642583e-01
   8.96535985e-01   1.11203499e+00   1.60910891e+00   2.27379815e+00
   2.95822538e+00   3.77724877e+00   5.37909981e+00   7.77969688e+00
   1.18222073e+01]"	"[  8.57611487e-03   4.07382345e-01   8.66509860e-01   8.33096998e-01
   7.54909389e-01   8.25578983e-01   1.24959082e+00   1.94238426e+00
   2.38717190e+00   2.86976329e+00   3.99141058e+00   5.48610058e+00
   7.37679580e+00   1.05471899e+01]"	"[  1.00635722e-02   4.85898337e-01   9.93966759e-01   9.22181849e-01
   9.22515966e-01   1.17206500e+00   1.81897982e+00   2.55703047e+00
   3.31341652e+00   4.47717535e+00   6.13691133e+00   8.20869327e+00
   1.23274126e+01]"	"[  8.80304140e-03   4.01528418e-01   8.91983232e-01   8.16622257e-01
   8.43877124e-01   9.16494691e-01   1.26557206e+00   2.00743418e+00
   2.55852791e+00   3.13079981e+00   4.94978910e+00   7.84884278e+00
   1.10001027e+01]"
t1	"[  0.           0.23690572   0.50877066   0.80073995   1.08447377
   1.35866291   1.62229732   1.89030112   2.17412457   2.44622419
   2.70753702   3.01492478   3.31857486   3.60829839   3.95502423
   4.26726526   4.51109985   4.78911892   5.11085239   5.49259173
   5.96190489   6.55622298   7.33987649   8.48106486  10.30985112
  14.30759876]"	"[  0.           0.36966564   0.81112574   1.30664931   1.80594017
   2.28706162   2.76921456   3.26400884   3.77458019   4.35561982
   5.03855021   5.6064602    6.11047419   6.76357238   7.66413995
   9.04297115  11.54033267]"	"[  0.           0.29521527   0.64851701   1.02030478   1.38701669
   1.75904182   2.14268189   2.54212913   2.97684271   3.40030882
   3.87177667   4.38568929   4.9361564    5.47202287   5.93491212
   6.51778245   7.29997242   8.45884985  10.34738216  14.66545901]"	"[  0.           0.29049559   0.63457884   0.99831355   1.36781218
   1.71554302   2.0661943    2.45895208   2.87278768   3.26778349
   3.70144595   4.16472258   4.64584434   5.10326583   5.48223041
   5.94270497   6.54870591   7.36311108   8.5516184   10.49054819
  15.22757477]"	"[  0.           0.29175135   0.64550022   1.02186035   1.38985789
   1.764199     2.1467983    2.54490252   2.98266297   3.40936074
   3.78883756   4.16908061   4.64780108   5.1053959    5.48482095
   5.94783549   6.54046084   7.33689159   8.48724804  10.39543911
  14.8768509 ]"	"[  0.           0.28702686   0.63141801   0.99863719   1.37063053
   1.71898123   2.06892086   2.45891311   2.87361322   3.2731381
   3.71107197   4.17415988   4.65808835   5.11167084   5.49653382
   5.963166     6.56417771   7.38272703   8.55969696  10.52173507
  15.39533739]"	"[  3.27320945e-03   1.17531569e-01   4.38714971e-01   9.39891321e-01
   9.22214716e-01   1.02144623e+00   9.64429826e-01   7.72965419e-01
   9.03389295e-01   9.21126223e-01   1.08104124e+00   1.21072941e+00
   1.36794473e+00   1.71420021e+00   1.99630346e+00   2.19402398e+00
   2.39694350e+00   2.84532085e+00   3.18244172e+00   3.57232817e+00
   4.10347815e+00   4.78621392e+00   6.13122822e+00   7.60049614e+00
   1.03625621e+01   1.60733169e+01]"	"[  1.26086873e-02   3.28180400e-01   1.24181824e+00   2.30175564e+00
   1.75918952e+00   2.06502175e+00   1.93246570e+00   2.25696823e+00
   3.13945037e+00   3.55162733e+00   4.67592370e+00   5.78374352e+00
   6.48333379e+00   8.00807909e+00   1.01205935e+01   1.47388635e+01
   2.05773416e+01]"	"[  8.20175635e-03   2.34892600e-01   7.67626105e-01   1.47774991e+00
   1.63307438e+00   1.46821871e+00   1.27429816e+00   1.61538356e+00
   1.71094685e+00   2.19510365e+00   2.70816657e+00   3.18047317e+00
   3.92599710e+00   4.75820604e+00   5.51634630e+00   6.58093015e+00
   7.90439476e+00   1.09858046e+01   1.50058176e+01   2.25365878e+01]"	"[  7.86556612e-03   2.32387262e-01   7.28594547e-01   1.58676838e+00
   1.58974471e+00   1.51993496e+00   1.28461304e+00   1.54164018e+00
   1.62550180e+00   2.05305384e+00   2.45423355e+00   3.06934306e+00
   3.55646838e+00   4.15784696e+00   4.64178178e+00   5.42950731e+00
   6.51383663e+00   8.16316468e+00   1.09834092e+01   1.46713005e+01
   2.41215233e+01]"	"[  8.01633062e-03   2.46867143e-01   7.80830771e-01   1.48946067e+00
   1.60773661e+00   1.40615631e+00   1.34151350e+00   1.50335634e+00
   1.79063063e+00   2.08312207e+00   2.64058443e+00   2.89625563e+00
   3.66958642e+00   4.11818760e+00   4.49730202e+00   5.72862987e+00
   6.68393021e+00   7.56821338e+00   1.08643633e+01   1.50316817e+01
   2.38530623e+01]"	"[  7.68014039e-03   2.40582517e-01   7.13709011e-01   1.45881395e+00
   1.81123931e+00   1.36777735e+00   1.37375152e+00   1.39556014e+00
   1.77910720e+00   1.88961983e+00   2.43069673e+00   2.80926195e+00
   3.51461420e+00   4.17942412e+00   4.70125067e+00   5.47015908e+00
   6.66991112e+00   8.05716047e+00   1.03715719e+01   1.47450513e+01
   2.51451257e+01]"
t2	"[  0.           0.12459464   0.54028086   0.86039933   1.19547106
   1.48227673   1.73199731   1.96438252   2.18649362   2.40418014
   2.62561158   2.8625543    3.11410459   3.39013716   3.69463236
   4.0390755    4.44202798   4.792685     5.059749     5.35827078
   5.70122866   6.10322553   6.58428264   7.15781479   7.88135123
   8.85259188  10.2435359   12.50080593  17.80934275]"	"[  0.           0.32144688   1.06757103   1.62788518   2.16473789
   2.7518555    3.32744487   3.87024153   4.4511634    5.06134668
   5.69844882   6.54962798   7.43551358   8.27232157   9.46399735
  11.25569592  14.62929489]"	"[  0.           0.26175056   0.94988873   1.37174257   1.80125358
   2.24397792   2.69212168   3.18380188   3.68558589   4.2181191
   4.76644422   5.32124397   6.04886092   6.76130898   7.39134072
   8.20071312   9.31929146  11.01314343  14.24530463]"	"[  0.           0.15214212   0.67919637   1.10205425   1.50921865
   1.91639447   2.35285104   2.80080116   3.2401593    3.67655187
   4.10324805   4.51226879   5.00686799   5.64132189   6.25041345
   6.76317529   7.38764971   8.21303517   9.3462879   11.05875844
  14.21612022]"	"[  0.           0.2279398    0.92242046   1.3553818    1.78492971
   2.22296426   2.66706724   3.08841489   3.4991685    3.98901107
   4.48079849   4.96677559   5.57471904   6.15868538   6.63993179
   7.2361575    8.00009353   9.02512756  10.56123887  13.26975279]"	"[  0.           0.22754642   0.85116098   1.22619985   1.61449873
   1.95779281   2.2842525    2.6129533    2.96175047   3.35237239
   3.80931584   4.26301566   4.70144053   5.23735062   5.73860735
   6.14957613   6.64569091   7.25520225   8.03505267   9.08161305
  10.65491995  13.39243791]"	"[  2.93952604e-03   6.05736147e-02   9.15603591e-01   1.85237253e+00
   2.03437342e+00   1.51271301e+00   1.29028853e+00   1.04276657e+00
   1.09301517e+00   1.05470990e+00   9.75376446e-01   1.03594177e+00
   1.21121474e+00   1.27530347e+00   1.46263018e+00   1.59872369e+00
   1.91764587e+00   2.10043801e+00   2.28861052e+00   2.51254869e+00
   2.90628442e+00   3.37549283e+00   3.78943439e+00   4.36715276e+00
   5.31590692e+00   6.45884113e+00   8.31010882e+00   1.16582726e+01
   1.79639983e+01]"	"[  1.56907721e-02   4.29737289e-01   2.88657927e+00   3.13324517e+00
   2.66433302e+00   2.32429210e+00   2.54061091e+00   3.03128868e+00
   3.65413086e+00   4.42813889e+00   5.36308512e+00   7.07471800e+00
   8.31750978e+00   1.05279945e+01   1.40805889e+01   1.96381682e+01
   2.70286198e+01]"	"[  1.09735757e-02   3.62343402e-01   2.52776019e+00   3.48008662e+00
   3.49055836e+00   2.97464257e+00   2.98331423e+00   3.31688446e+00
   3.91249760e+00   4.61050977e+00   5.42065538e+00   6.58017597e+00
   7.93461306e+00   9.55099645e+00   1.12287216e+01   1.40219452e+01
   1.65591556e+01   2.43445155e+01   3.24151228e+01]"	"[  8.44460494e-03   1.04216063e-01   1.50618400e+00   3.03479612e+00
   3.37359962e+00   2.99958938e+00   2.95822097e+00   2.81871629e+00
   3.20741443e+00   3.60998673e+00   4.04796069e+00   4.64556219e+00
   5.62636761e+00   6.73036239e+00   8.00277256e+00   9.39921166e+00
   1.12841636e+01   1.38246012e+01   1.71972978e+01   2.34353949e+01
   3.18432803e+01]"	"[  1.01856932e-02   2.80296640e-01   2.33802292e+00   3.47401848e+00
   3.21269726e+00   2.92861463e+00   2.89409221e+00   3.13443542e+00
   3.45424430e+00   3.87807990e+00   4.74243778e+00   5.57987057e+00
   6.68047003e+00   8.10448369e+00   8.69383635e+00   1.05620814e+01
   1.25930189e+01   1.55856944e+01   2.08768016e+01   2.88596004e+01]"	"[  7.65672248e-03   2.81580456e-01   2.12334449e+00   3.18341580e+00
   3.22485499e+00   2.82117817e+00   2.72757723e+00   2.80634126e+00
   2.56849807e+00   3.23603518e+00   3.44291064e+00   4.29512932e+00
   4.74678141e+00   5.77046537e+00   6.37897386e+00   7.89010808e+00
   8.61174804e+00   1.07455017e+01   1.22689822e+01   1.57428613e+01
   2.08046720e+01   2.76004608e+01]"
