	tech1_bio1_tech2_bio1_m	tech1_bio2_tech2_bio2_m	tech1_bio1_tech1_bio2_m	tech1_bio1_tech2_bio2_m	tech2_bio1_tech1_bio2_m	tech2_bio1_tech2_bio2_m	tech1_bio1_tech2_bio1_v	tech1_bio2_tech2_bio2_v	tech1_bio1_tech1_bio2_v	tech1_bio1_tech2_bio2_v	tech2_bio1_tech1_bio2_v	tech2_bio1_tech2_bio2_v
t0	"[  0.           0.47144018   0.7081626    0.88890986   1.1075077
   1.3395449    1.53845832   1.72721873   1.91619202   2.11670843
   2.33320281   2.58007465   2.78911994   2.94355064   3.11484023
   3.30653523   3.52555523   3.76896607   4.05564859   4.39410317
   4.8116797    5.32920488   6.00589599   6.94363026   8.35675751
  10.81045312  17.16651614]"	"[  0.           0.39733312   0.71631381   1.02462028   1.38422955
   1.74654445   2.10304029   2.45222893   2.8615287    3.28511732
   3.72262594   4.13948464   4.48395692   4.90818035   5.43393972
   6.13435543   7.1784045    8.9019153   12.75051727]"	"[  0.           0.44474777   0.74778312   1.07413919   1.31110419
   1.5541207    1.79598919   1.99909174   2.21120128   2.44082618
   2.69830177   3.00507634   3.28011966   3.48981778   3.72440083
   3.99814186   4.32154977   4.71672075   5.21762649   5.86842373
   6.79871003   8.23337128  10.86873376  17.95658885]"	"[  0.           0.42281045   0.73391833   1.04112187   1.336569
   1.60252978   1.87725187   2.17771462   2.47590918   2.75022444
   3.05975138   3.42960229   3.76391319   4.03798135   4.37227643
   4.77923281   5.28636708   5.92323007   6.80227732   8.1498705
  10.61392356  18.01518072]"	"[  0.           0.44830028   0.75293958   1.08011664   1.36830609
   1.6599354    1.95861863   2.27580695   2.57601311   2.85617532
   3.20328217   3.51041551   3.75285121   4.03270064   4.36567033
   4.77819366   5.28264178   5.94436641   6.86678091   8.3549783
  11.08935295  18.69557641]"	"[  0.           0.43255831   0.75134975   1.05013231   1.34086058
   1.60763393   1.88788253   2.19057668   2.55031969   2.90552732
   3.24363254   3.66922611   4.08395753   4.42933479   4.84389046
   5.35444209   6.00252657   6.89140101   8.26114263  10.82629831
  18.92535159]"	"[  1.25742637e-03   8.43698218e-01   1.43932161e+00   1.56797759e+00
   1.35230095e+00   9.32312797e-01   9.17614176e-01   9.36600112e-01
   1.00480293e+00   1.11056291e+00   1.30247832e+00   1.48303725e+00
   1.75400080e+00   2.01539771e+00   2.27425277e+00   2.62345332e+00
   3.15522701e+00   3.58640813e+00   4.21472159e+00   4.95205128e+00
   5.56601724e+00   7.21559857e+00   9.18606658e+00   1.25635931e+01
   1.73574917e+01   2.88213638e+01   6.25611564e+01]"	"[  5.91204815e-03   5.98746486e-01   1.76962104e+00   2.26952092e+00
   2.06215949e+00   1.71359127e+00   2.28206251e+00   3.08053888e+00
   3.85561171e+00   5.00508895e+00   6.27424664e+00   7.79590162e+00
   8.91789928e+00   1.16261559e+01   1.38857587e+01   1.74892796e+01
   2.30240144e+01   4.07292583e+01   8.48535853e+01]"	"[  2.70442944e-03   7.50488821e-01   1.68278909e+00   1.66549097e+00
   1.31895019e+00   1.36382715e+00   1.49600615e+00   1.69219262e+00
   1.87807481e+00   2.11463242e+00   2.51013069e+00   3.09179479e+00
   3.91264344e+00   4.13594423e+00   5.07306113e+00   5.38308427e+00
   6.34699147e+00   7.54903145e+00   9.95883318e+00   1.23717441e+01
   1.69640701e+01   2.64543686e+01   4.69505796e+01   9.37474553e+01]"	"[  4.05251388e-03   6.65853216e-01   1.67193165e+00   2.39200879e+00
   1.84817175e+00   1.47381045e+00   1.43157872e+00   1.97176513e+00
   2.67753379e+00   3.40982317e+00   3.91615004e+00   4.53833531e+00
   5.12947572e+00   6.12442208e+00   7.61344384e+00   9.81001340e+00
   1.20537080e+01   1.45801449e+01   1.80918958e+01   2.62846824e+01
   4.58845335e+01   1.18261549e+02]"	"[  3.11696065e-03   7.67481506e-01   1.72368780e+00   1.92754060e+00
   1.45835626e+00   1.35460222e+00   1.68632241e+00   1.91126356e+00
   2.40269540e+00   2.68593871e+00   3.81302275e+00   4.57459256e+00
   5.42627624e+00   6.22896964e+00   7.45591474e+00   8.55192920e+00
   1.07679975e+01   1.36110488e+01   1.84458120e+01   2.76869528e+01
   5.26462646e+01   1.08873286e+02]"	"[  4.46504509e-03   7.06859616e-01   1.77714684e+00   2.54085121e+00
   1.94123935e+00   1.53075504e+00   1.51825490e+00   2.04744019e+00
   2.91362161e+00   3.57897087e+00   4.42314784e+00   5.44336869e+00
   6.73748576e+00   8.68199219e+00   1.02092366e+01   1.30120596e+01
   1.51719174e+01   1.92432210e+01   2.83471572e+01   5.00159488e+01
   1.30285222e+02]"
t1	"[  0.           0.22891738   0.56877395   0.86843372   1.12391989
   1.36227613   1.5949306    1.82598168   2.06846526   2.31198277
   2.56302583   2.81697698   3.07549735   3.34301034   3.6291085
   3.92949315   4.25041244   4.60613011   5.00138605   5.44452935
   5.95409912   6.5786496    7.32456832   8.30416532   9.65123723
  11.61130569  14.9240062   22.40361885]"	"[  0.           0.36437034   0.98591239   1.47919941   1.93540329
   2.40088666   2.88070269   3.40671556   3.9942041    4.68214822
   5.31305324   5.81315432   6.41615769   7.1771929    8.15454449
   9.48360702  11.42266762  14.63358461  21.89852282]"	"[  0.           0.21914674   0.52078333   0.95123125   1.44191111
   1.89694116   2.36697986   2.86083111   3.25215314   3.53051071
   3.8262473    4.1398381    4.48039694   4.86014163   5.30079105
   5.7938329    6.37831192   7.09441052   8.01836253   9.27194516
  11.10385359  14.05698232  20.2304344 ]"	"[  0.           0.22181151   0.51640404   0.95598608   1.45374706
   1.90597877   2.36756359   2.85920066   3.37677292   3.80630193
   4.11925518   4.4546943    4.82637819   5.24575038   5.73370189
   6.31157728   7.01669108   7.91730755   9.1364879   10.86990793
  13.62030151  19.16757662]"	"[  0.           0.21768892   0.5168044    0.9457157    1.4292129
   1.88535652   2.35394758   2.84321465   3.3754925    3.80530962
   4.12300582   4.47050847   4.85205684   5.27816374   5.7757544
   6.37402661   7.0866872    8.03353938   9.2770777   11.08038203
  14.0109931   20.11885015]"	"[  0.           0.36549859   0.94968874   1.43981207   1.89470328
   2.35179485   2.84203836   3.363481     3.95015178   4.45189981
   4.82322605   5.24426727   5.73047102   6.30491597   7.0178109    7.931636
   9.14058436  10.88607479  13.63929919  19.16931901]"	"[  1.44833524e-03   2.03164931e-01   8.23561786e-01   1.57472093e+00
   2.42302881e+00   3.10063427e+00   3.41982694e+00   3.79885248e+00
   3.72175801e+00   3.10705289e+00   2.98390226e+00   2.75738126e+00
   2.60460173e+00   2.79836527e+00   2.57092183e+00   2.72881099e+00
   2.63508040e+00   2.73977121e+00   2.99485430e+00   3.33253342e+00
   3.85411300e+00   4.63155108e+00   5.23203308e+00   7.25281724e+00
   1.00963513e+01   1.39762764e+01   2.40524393e+01   5.06281125e+01]"	"[  1.14427579e-02   4.27732070e-01   2.98031218e+00   5.33054081e+00
   5.80329520e+00   6.67879579e+00   5.90446304e+00   5.57407496e+00
   5.04327447e+00   6.22398854e+00   7.21213103e+00   7.60992071e+00
   9.77967630e+00   1.24466833e+01   1.58464474e+01   2.19861838e+01
   3.20964439e+01   4.90282483e+01   1.09883109e+02]"	"[  5.80808511e-03   1.99370081e-01   7.59288062e-01   2.39293217e+00
   4.60536887e+00   5.00548050e+00   5.33415584e+00   4.39151798e+00
   4.17033438e+00   4.45668830e+00   4.27353696e+00   4.17607162e+00
   4.53533155e+00   5.15310554e+00   5.17833305e+00   6.19426537e+00
   7.43633043e+00   9.58147799e+00   1.18480554e+01   1.60471503e+01
   2.29698530e+01   3.51159667e+01   7.21573637e+01]"	"[  6.69049405e-03   2.06609388e-01   7.45433465e-01   2.36056160e+00
   4.71319855e+00   5.35167048e+00   5.14486435e+00   4.79223917e+00
   4.22750301e+00   4.60367755e+00   4.66325104e+00   4.66332279e+00
   4.84709406e+00   5.73163486e+00   6.00922834e+00   7.75295332e+00
   9.10676404e+00   1.19949351e+01   1.53184180e+01   2.27720694e+01
   3.68570494e+01   6.81259280e+01]"	"[  6.20059913e-03   1.96513289e-01   7.55523870e-01   2.38048410e+00
   4.71964538e+00   5.13937793e+00   5.51778971e+00   4.89661849e+00
   4.53064103e+00   4.79530063e+00   4.27514524e+00   4.73536971e+00
   5.20019711e+00   5.46871256e+00   6.09173745e+00   8.15177652e+00
   1.03144239e+01   1.30181427e+01   1.71668263e+01   2.35270838e+01
   3.72460612e+01   7.49856407e+01]"	"[  7.08300808e-03   4.76382496e-01   2.39808135e+00   4.67386922e+00
   5.58483294e+00   5.20019085e+00   4.94462067e+00   4.65923004e+00
   4.67036082e+00   5.24039107e+00   5.18452671e+00   5.63844862e+00
   6.60233751e+00   8.21714516e+00   9.40877289e+00   1.22068401e+01
   1.64513255e+01   2.31532349e+01   3.64154374e+01   7.13389060e+01]"
t2	"[  0.           0.13724512   1.06596897   2.2124639    3.23558932
   4.24575425   5.20115968   6.14418849   7.11758217   8.24070617
   9.5509842   11.16208136  13.37710304  16.86466815  23.48153036
  47.01229343]"	"[  0.           0.141936     1.19344296   2.21013301   3.18178249
   4.10213172   4.98582671   5.86797617   6.80348837   7.83833653
   9.0541209   10.54182067  12.52576633  15.49692269  20.78109915
  34.53589232]"	"[  0.           0.21458522   1.28453046   2.17308589   2.99913935
   3.86752167   4.76423798   5.67730246   6.62313444   7.66326471
   8.88537156  10.34591004  12.24348498  15.06513231  19.95916836
  31.72589147]"	"[  0.           0.22298702   1.3179743    2.21404658   3.05127277
   3.91155536   4.81810491   5.729228     6.67340064   7.73248136
   8.95275745  10.42232243  12.36308302  15.26789185  20.30064115
  32.72807406]"	"[  0.           0.20669142   1.2740453    2.15987982   2.99295836
   3.84576589   4.74314419   5.65449241   6.60257789   7.64138161
   8.85718088  10.31009632  12.18793497  14.96380167  19.75187462
  31.15654702]"	"[  0.           0.21646875   1.30457282   2.20284691   3.0426756
   3.89776258   4.79799164   5.70770052   6.65303386   7.70811099
   8.92124474  10.37148824  12.30012916  15.14953795  20.0702839
  32.13230278]"	"[  5.28396703e-04   5.70086346e-02   2.59323220e+00   7.70458346e+00
   8.84696414e+00   6.38150830e+00   5.39035263e+00   3.77944779e+00
   3.25027123e+00   3.05683043e+00   3.65381157e+00   5.07646073e+00
   6.85073818e+00   1.11708721e+01   2.00623087e+01   8.50013966e+01]"	"[  7.17520655e-04   1.19663591e-01   2.93903460e+00   7.37559412e+00
   9.37134595e+00   8.06485573e+00   5.34667741e+00   4.02012854e+00
   3.91068411e+00   3.83006368e+00   4.17980365e+00   5.03582232e+00
   6.50684276e+00   1.12440403e+01   2.05553029e+01   5.30760574e+01]"	"[  5.49176647e-04   2.98364145e-01   4.57398327e+00   1.10352079e+01
   1.60752347e+01   1.70287548e+01   1.46256884e+01   1.15589740e+01
   1.04427334e+01   1.15429447e+01   1.09342489e+01   1.36676596e+01
   1.66468917e+01   2.33751123e+01   4.61616127e+01   1.14421313e+02]"	"[  6.00695415e-04   3.17044962e-01   4.74047237e+00   1.10851656e+01
   1.64430103e+01   1.64169214e+01   1.49519335e+01   1.14164825e+01
   1.04279561e+01   1.09927070e+01   1.12060464e+01   1.34860619e+01
   1.70931951e+01   2.53538267e+01   4.79744785e+01   1.26483027e+02]"	"[  6.45221943e-04   2.81397332e-01   4.54990644e+00   1.09534270e+01
   1.62056582e+01   1.71658284e+01   1.51622547e+01   1.12532716e+01
   1.11733986e+01   1.09221294e+01   1.15899561e+01   1.36473507e+01
   1.68059037e+01   2.55347765e+01   4.30138668e+01   1.20306059e+02]"	"[  6.96740711e-04   3.03276330e-01   4.65897185e+00   1.12670743e+01
   1.59124397e+01   1.69354601e+01   1.51936852e+01   1.18947545e+01
   1.07005402e+01   1.12238445e+01   1.21761216e+01   1.34499415e+01
   1.77391551e+01   2.59475885e+01   4.64395314e+01   1.28230236e+02]"
