	tech1_bio1_tech2_bio1_m	tech1_bio2_tech2_bio2_m	tech1_bio1_tech1_bio2_m	tech1_bio1_tech2_bio2_m	tech2_bio1_tech1_bio2_m	tech2_bio1_tech2_bio2_m	tech1_bio1_tech2_bio1_v	tech1_bio2_tech2_bio2_v	tech1_bio1_tech1_bio2_v	tech1_bio1_tech2_bio2_v	tech2_bio1_tech1_bio2_v	tech2_bio1_tech2_bio2_v
t0	"[ 0.          0.2305294   0.46151003  0.69474     0.91643488  1.13429463
  1.34640539  1.56047134  1.78377682  2.00785504  2.22940043  2.44245234
  2.66838612  2.89972909  3.14055218  3.38462511  3.61990084  3.90629762
  4.27433474  4.63133247  4.93618631  5.33616023  5.91907595  7.03759721]"	"[ 0.          0.25103037  0.45037223  0.6301806   0.79172376  0.9457586
  1.09129026  1.22522999  1.35581012  1.49038535  1.63150075  1.78292479
  1.93319957  2.08145292  2.24907043  2.41487936  2.57734074  2.76294435
  2.94284658  3.10712231  3.29445438  3.5170484   3.71083212  3.86019517
  4.03373814  4.23619008  4.47582434  4.76776914  5.14672575  5.69422518
  6.69571903]"	"[ 0.          0.23550146  0.42927535  0.61419134  0.81956664  1.01493444
  1.19759817  1.38088592  1.56845612  1.75834839  1.95811827  2.16951156
  2.37252158  2.58370005  2.79985253  3.02067459  3.24083214  3.450208
  3.70142352  4.01180353  4.30203647  4.54944871  4.85118704  5.23633622
  5.79014011  6.83175147]"	"[ 0.          0.24098383  0.47199858  0.70127952  0.89576283  1.08371708
  1.27025347  1.45228396  1.63213825  1.81548753  2.00528076  2.20371206
  2.41150666  2.60335838  2.79174128  3.01048087  3.22813805  3.43673491
  3.6906554   4.00340471  4.29879663  4.53924444  4.83082553  5.22405946
  5.77667022  6.82142041]"	"[ 0.          0.24183752  0.43601477  0.61977096  0.79370439  0.96822085
  1.13951905  1.30069162  1.46182868  1.63129226  1.79958668  1.97069167
  2.14369701  2.32068896  2.49577238  2.66860527  2.86897545  3.0620065
  3.24159175  3.45029192  3.70011377  3.92513397  4.10252001  4.31132104
  4.55890328  4.85587753  5.23884476  5.80302178  6.85951346]"	"[ 0.          0.24716927  0.43938147  0.62027342  0.78966144  0.94707615
  1.10699119  1.2675763   1.42654486  1.59368147  1.75834886  1.92578376
  2.09509583  2.26652965  2.43528888  2.5991086   2.78730876  2.96824103
  3.13542818  3.32749497  3.55652643  3.83795774  4.0919652   4.29921574
  4.53840545  4.83657223  5.21639864  5.78015895  6.81669703]"	"[  2.58657980e-03   1.31876958e-01   3.61333133e-01   3.83903152e-01
   2.92856847e-01   2.52106498e-01   2.95342236e-01   3.53199566e-01
   4.34816147e-01   4.85853870e-01   5.75707015e-01   6.24664696e-01
   7.05793111e-01   7.75943650e-01   8.97951988e-01   9.79241494e-01
   1.05433419e+00   1.23965552e+00   1.41146336e+00   1.58876448e+00
   1.69117586e+00   1.89977527e+00   2.16369962e+00   2.82314171e+00]"	"[  1.09098650e-03   1.54836167e-01   3.00644145e-01   2.84649218e-01
   1.89360527e-01   1.74752334e-01   1.69504423e-01   1.92653088e-01
   2.10565243e-01   2.32967966e-01   2.79968752e-01   2.83502081e-01
   3.22292599e-01   3.53148303e-01   3.89460374e-01   4.41271312e-01
   4.63365742e-01   5.14154544e-01   5.73655341e-01   6.25265330e-01
   6.73848135e-01   7.49652864e-01   7.85868581e-01   8.23472769e-01
   9.06269503e-01   9.70293013e-01   1.05609617e+00   1.19455579e+00
   1.29031236e+00   1.52661818e+00   2.07109302e+00]"	"[  2.19763954e-03   1.25617085e-01   3.43683808e-01   4.00289687e-01
   3.06733398e-01   2.39138035e-01   2.41307235e-01   2.86174948e-01
   3.35151163e-01   3.88851706e-01   4.43196526e-01   5.13700058e-01
   5.72686662e-01   6.21911351e-01   7.14198605e-01   7.86274344e-01
   8.73820936e-01   9.73462957e-01   1.05424166e+00   1.20110307e+00
   1.35004565e+00   1.47586888e+00   1.60484607e+00   1.83072470e+00
   2.10002888e+00   2.73741209e+00]"	"[  2.10353492e-03   1.38426246e-01   3.55127621e-01   3.52808793e-01
   2.52579225e-01   2.23175132e-01   2.50134422e-01   2.84897169e-01
   3.40300207e-01   3.96897277e-01   4.45835400e-01   5.02172713e-01
   5.71729346e-01   6.24042420e-01   6.83642302e-01   7.40451662e-01
   8.43186218e-01   9.17810600e-01   1.05471787e+00   1.17060209e+00
   1.25238878e+00   1.45802977e+00   1.56478232e+00   1.70806362e+00
   2.05503948e+00   2.60425165e+00]"	"[  1.57403137e-03   1.34324289e-01   3.45632354e-01   3.18582635e-01
   2.40397158e-01   2.06272963e-01   2.18452408e-01   2.44476788e-01
   2.79248534e-01   3.12374948e-01   3.51272036e-01   3.93784451e-01
   4.53249582e-01   4.85924970e-01   5.40946926e-01   5.90873656e-01
   6.57076475e-01   7.37388610e-01   7.63108543e-01   8.67401065e-01
   9.51652873e-01   1.03827086e+00   1.10651257e+00   1.18322308e+00
   1.28270593e+00   1.46634746e+00   1.56531591e+00   1.86813286e+00
   2.48057992e+00]"	"[  1.47992675e-03   1.45151582e-01   3.17119300e-01   3.16104921e-01
   2.30471123e-01   1.99231244e-01   1.98253423e-01   2.25499770e-01
   2.59725314e-01   2.85568749e-01   3.29040413e-01   3.66377263e-01
   4.06936573e-01   4.52572435e-01   4.91576860e-01   5.41493197e-01
   6.09305698e-01   6.53901768e-01   7.20810111e-01   7.74030670e-01
   8.52472672e-01   9.45335143e-01   1.06024981e+00   1.18665123e+00
   1.21732121e+00   1.32901948e+00   1.48473172e+00   1.69383737e+00
   2.39404793e+00]"
t1	"[  0.           0.19318283   0.44608443   0.70645694   0.98177544
   1.25760449   1.5381647    1.84182946   2.13765103   2.41106182
   2.68207994   2.99517315   3.30242409   3.58702873   3.9229431
   4.3224445    4.80264799   5.22791795   5.56746516   5.96078169
   6.42839084   6.99069334   7.72285562   8.7324611   10.34374314]"	"[  0.           0.15914754   0.35614719   0.55070069   0.73898985
   0.9383783    1.13594511   1.33795481   1.54654052   1.75803444
   1.96511838   2.16633897   2.39833225   2.61565586   2.80940027
   3.02300162   3.26404961   3.53709836   3.85959483   4.13639584
   4.34640929   4.57822697   4.82973239   5.11900888   5.44358482
   5.83081977   6.2793311    6.82141081   7.50417584   8.43378752
   9.90083907  13.29552937]"	"[  0.           0.19665551   0.43707608   0.68082857   0.93163878
   1.19804383   1.46472572   1.72486199   1.99523287   2.2809561
   2.5750776    2.86953915   3.21568429   3.55882945   3.88580575
   4.26873087   4.60482988   4.86818385   5.16256379   5.4933712
   5.87646077   6.32812622   6.87732126   7.5766812    8.51086468
  10.00857985  13.47372416]"	"[  0.           0.19810182   0.43755071   0.68070967   0.92818499
   1.17217465   1.43479552   1.71554798   1.98765045   2.27163539
   2.56145333   2.85073097   3.1963827    3.53851874   3.8604486
   4.2407664    4.70463266   5.11576321   5.4446835    5.82034885
   6.26540648   6.80642262   7.49214335   8.4150635    9.83693877
  12.93688068]"	"[  0.           0.15611744   0.35038936   0.54125146   0.72937918
   0.92750798   1.12652048   1.33199282   1.54158237   1.75343419
   1.96278839   2.16783848   2.40116329   2.62044881   2.81719834
   3.03369006   3.27832408   3.55825791   3.88478309   4.16410946
   4.37580486   4.61110364   4.86961155   5.15755106   5.49151301
   5.87262176   6.31851237   6.86421794   7.56331634   8.49260778
   9.95153708  13.26343908]"	"[  0.           0.15785008   0.35144246   0.54225493   0.72961588
   0.92674502   1.12405828   1.32660284   1.53299012   1.74424225
   1.95367228   2.15740151   2.3890147    2.60513514   2.7979989    3.013565
   3.2614648    3.54015989   3.86223448   4.14043042   4.34886655
   4.57821369   4.83330328   5.11862013   5.44563743   5.83072622
   6.27882018   6.80583603   7.48451884   8.39799438   9.80950603
  12.8340954 ]"	"[  4.13768342e-03   8.20212776e-02   2.89248550e-01   5.01455125e-01
   6.72084693e-01   6.86108217e-01   7.59264976e-01   8.19332330e-01
   8.53429567e-01   9.80676891e-01   1.03554879e+00   1.17671565e+00
   1.33185387e+00   1.48762623e+00   1.62841203e+00   1.74903227e+00
   2.01024260e+00   2.29720348e+00   2.44688617e+00   2.67942270e+00
   2.90258273e+00   3.24789487e+00   3.66247255e+00   4.33803538e+00
   5.34991735e+00]"	"[  1.83500458e-03   5.22169290e-02   1.99825981e-01   3.05928399e-01
   4.11848654e-01   3.87648686e-01   5.01504336e-01   4.50062072e-01
   4.54910044e-01   5.01717576e-01   4.75399977e-01   5.77369557e-01
   6.58512521e-01   6.45486229e-01   7.69857746e-01   7.51140392e-01
   8.42809840e-01   9.36504488e-01   1.05374056e+00   1.18478314e+00
   1.16397021e+00   1.36291553e+00   1.38687961e+00   1.48684917e+00
   1.59707357e+00   1.78789868e+00   1.99588796e+00   2.19257839e+00
   2.48506161e+00   2.82734411e+00   3.43666010e+00   5.22947814e+00]"	"[  3.98175536e-03   9.45212187e-02   2.78294558e-01   4.97736647e-01
   6.40489492e-01   6.67713374e-01   7.14457510e-01   7.82164456e-01
   7.81220012e-01   8.92118793e-01   9.67052062e-01   1.09906958e+00
   1.23453957e+00   1.40910954e+00   1.54376448e+00   1.74532734e+00
   1.92918659e+00   2.03465013e+00   2.19753520e+00   2.27977343e+00
   2.57539056e+00   2.76442122e+00   3.24245230e+00   3.70714282e+00
   4.20576417e+00   5.42925838e+00   7.65876602e+00]"	"[  3.91363125e-03   9.94577679e-02   2.89657205e-01   4.90159269e-01
   6.12584156e-01   6.41746102e-01   7.19302487e-01   7.34865902e-01
   8.32859075e-01   8.62655889e-01   1.01004749e+00   1.10129329e+00
   1.22245227e+00   1.42271938e+00   1.53694657e+00   1.76121599e+00
   1.98984315e+00   2.12554392e+00   2.34838166e+00   2.61544652e+00
   2.90406120e+00   3.11667326e+00   3.61484249e+00   4.32540556e+00
   5.08758858e+00   7.34595894e+00]"	"[  2.05905675e-03   4.84171697e-02   1.96710334e-01   3.36485680e-01
   4.06895659e-01   5.29261688e-01   4.74768550e-01   5.48313262e-01
   5.19664005e-01   5.90121048e-01   6.38706605e-01   6.50450628e-01
   7.42602177e-01   7.60093960e-01   8.60385357e-01   9.25889741e-01
   9.71138729e-01   1.10481186e+00   1.25787966e+00   1.35363280e+00
   1.43303731e+00   1.53108405e+00   1.66107030e+00   1.74325183e+00
   1.90373485e+00   2.07516026e+00   2.18729721e+00   2.54440175e+00
   2.90312266e+00   3.33937151e+00   4.03539494e+00   6.03027866e+00]"	"[  1.99093264e-03   5.55781856e-02   1.80487763e-01   3.43202256e-01
   4.34700390e-01   4.62952378e-01   5.25450018e-01   5.23561829e-01
   5.60236328e-01   5.69730546e-01   6.14563262e-01   6.55227702e-01
   7.28276275e-01   7.79791890e-01   8.31639150e-01   9.06886640e-01
   9.86501730e-01   1.08063615e+00   1.23564855e+00   1.31407103e+00
   1.38812079e+00   1.51266508e+00   1.60939165e+00   1.72677331e+00
   1.84511450e+00   2.02431898e+00   2.32782530e+00   2.49304664e+00
   2.85026258e+00   3.25743234e+00   3.87115256e+00   5.69636011e+00]"
t2	"[  0.           0.08476039   0.29410224   0.46994362   0.61613589
   0.76669948   0.92072209   1.07905784   1.24649432   1.42444354
   1.61436949   1.81926822   2.03760794   2.27075229   2.52564369
   2.7330423    2.8778556    3.03165533   3.19237506   3.36057771
   3.53636424   3.72194172   3.92718007   4.1435984    4.37540791
   4.62799077   4.89994077   5.20430282   5.53506393   5.8985019
   6.31573362   6.79174901   7.33086232   7.9650924    8.73403386
   9.72763297  11.05264489  13.0685783   17.23225519]"	"[  0.           0.07272234   0.24653705   0.43622099   0.65883016
   0.88221846   1.07669069   1.24606288   1.42180735   1.61146654
   1.81015862   2.02062406   2.24947568   2.49780375   2.76526227
   2.98542533   3.14402766   3.30815432   3.48100065   3.66512873
   3.86359941   4.07438439   4.30312417   4.54995515   4.82229181
   5.11670059   5.4508327    5.81817805   6.23078357   6.71266234
   7.27387431   7.94020553   8.75763281   9.82072212  11.28612459
  13.60960128]"	"[  0.           0.07912155   0.28307588   0.47604631   0.68395995
   0.89690591   1.11930246   1.3229678    1.49795571   1.68575842
   1.88752422   2.10291862   2.33735163   2.59241321   2.86888862
   3.09564682   3.25836914   3.43108449   3.61624364   3.80977355
   4.0177763    4.2421723    4.48869446   4.75565207   5.04996811
   5.37441368   5.72156601   6.12478394   6.59178847   7.12842233
   7.74923019   8.51013721   9.48946373  10.80082891  12.82770776
  17.36376215]"	"[  0.           0.07110359   0.25587805   0.44765217   0.62366338
   0.76536199   0.91113216   1.06356708   1.22417411   1.39533018
   1.57716826   1.77469348   1.98533773   2.20899422   2.45529343
   2.72133776   2.93740961   3.08940794   3.25188148   3.4203065
   3.60004257   3.79241491   3.99433521   4.21622071   4.45460197
   4.71355369   4.99611732   5.30599076   5.64804493   6.0290738
   6.46390619   6.95417866   7.53593739   8.21484778   9.06059823
  10.16627901  11.73444896  14.25570917]"	"[  0.           0.07648415   0.27373154   0.46523974   0.67268777
   0.85068051   0.99739045   1.14948664   1.31048479   1.48547607
   1.67435839   1.87560925   2.09176168   2.32261917   2.57484787
   2.85480834   3.07965692   3.23937864   3.4091108    3.58847313
   3.78378592   3.99700096   4.21893861   4.46122287   4.72463182
   5.01732859   5.33165727   5.68067697   6.08054133   6.54546399
   7.08033552   7.69714844   8.45027824   9.3995186   10.70195045
  12.6655393   16.88063336]"	"[  0.           0.06974115   0.25196608   0.4069762    0.54610368
   0.68824366   0.83276913   0.98057568   1.13472967   1.29898428
   1.47625858   1.66824272   1.87312819   2.09133285   2.32362652
   2.51557108   2.64733156   2.78596981   2.93091079   3.08438432
   3.24437277   3.41305356   3.59008021   3.78157534   3.98220238
   4.20345295   4.44304002   4.70004953   4.97999147   5.29115046
   5.62973185   6.00822919   6.4473469    6.94597043   7.52475733
   8.2038262    9.05311462  10.15573401  11.72145002  14.26953281]"	"[  1.19352660e-03   1.80611166e-02   1.26269031e-01   2.59012589e-01
   3.14797570e-01   4.12771969e-01   5.32995561e-01   5.28888747e-01
   5.72360438e-01   5.81453287e-01   5.99957235e-01   6.00511446e-01
   6.10417946e-01   6.37376396e-01   6.21764675e-01   6.61864149e-01
   6.51038750e-01   7.08157879e-01   7.01472027e-01   7.42704778e-01
   7.92937227e-01   8.24424742e-01   8.86058576e-01   9.02900293e-01
   9.66708753e-01   1.04687818e+00   1.10334654e+00   1.19041148e+00
   1.27289660e+00   1.41068807e+00   1.52168045e+00   1.69262129e+00
   1.84660169e+00   2.03862317e+00   2.17315278e+00   2.62237280e+00
   3.14534183e+00   3.79617052e+00   5.39282949e+00]"	"[  1.36237325e-03   1.49564205e-02   8.69880825e-02   2.74396462e-01
   4.13031212e-01   5.33683847e-01   5.90876673e-01   5.99023284e-01
   6.76559643e-01   6.52737044e-01   6.56873991e-01   6.59707844e-01
   6.79273640e-01   6.98110926e-01   7.55779467e-01   7.91719612e-01
   7.95242343e-01   8.34135218e-01   8.90594712e-01   9.61997063e-01
   9.96462108e-01   9.91973879e-01   1.12282277e+00   1.17536700e+00
   1.25001005e+00   1.34931387e+00   1.41327886e+00   1.61003164e+00
   1.73295347e+00   1.91053447e+00   2.14197502e+00   2.40876050e+00
   2.74966098e+00   3.23665229e+00   3.88372954e+00   5.14422529e+00]"	"[  1.46822254e-03   2.06775130e-02   1.80411680e-01   3.82666415e-01
   6.53813029e-01   8.56214225e-01   1.05186969e+00   1.26155149e+00
   1.27969448e+00   1.34680293e+00   1.44505710e+00   1.40362842e+00
   1.57998496e+00   1.59720909e+00   1.72609826e+00   1.91604487e+00
   1.94097558e+00   2.01306099e+00   2.08221034e+00   2.17598246e+00
   2.36578181e+00   2.43564477e+00   2.60812642e+00   2.81738394e+00
   3.09236101e+00   3.16061161e+00   3.46172061e+00   3.75750349e+00
   4.27892952e+00   4.51781909e+00   5.13106555e+00   5.68233614e+00
   6.59227938e+00   7.73258257e+00   9.89765579e+00   1.54417566e+01]"	"[  1.24980966e-03   1.77080696e-02   1.50589832e-01   3.67581913e-01
   5.23870888e-01   6.83579696e-01   8.78391380e-01   1.00042337e+00
   1.09602943e+00   1.25501905e+00   1.37519596e+00   1.47296173e+00
   1.41468219e+00   1.52646884e+00   1.55832082e+00   1.64948992e+00
   1.81282104e+00   1.81907060e+00   1.82378587e+00   2.01555265e+00
   1.96621673e+00   2.07042363e+00   2.24199663e+00   2.26612831e+00
   2.43467773e+00   2.62067359e+00   2.82967616e+00   2.87699196e+00
   3.14024348e+00   3.50624804e+00   3.67375543e+00   4.16159090e+00
   4.49887329e+00   5.16914338e+00   5.56369805e+00   6.55127477e+00
   7.79569074e+00   1.01006544e+01]"	"[  1.30609019e-03   1.95459459e-02   1.68433207e-01   3.82242962e-01
   6.40592925e-01   8.04051011e-01   9.23372012e-01   1.07607175e+00
   1.22213319e+00   1.25440663e+00   1.39053642e+00   1.37524382e+00
   1.47083582e+00   1.58175552e+00   1.56582850e+00   1.67896342e+00
   1.78950544e+00   1.77672061e+00   1.96532918e+00   1.99974436e+00
   2.06909190e+00   2.26887515e+00   2.45539208e+00   2.51769277e+00
   2.71403496e+00   2.94270853e+00   3.02276872e+00   3.27301358e+00
   3.73889976e+00   4.09656176e+00   4.26424036e+00   5.00338645e+00
   5.49044380e+00   6.37128291e+00   7.60449684e+00   9.35090670e+00
   1.46798881e+01]"	"[  1.08767731e-03   1.62216850e-02   1.36653149e-01   3.17704571e-01
   5.14991467e-01   5.89667878e-01   7.80557026e-01   9.12314327e-01
   1.00480201e+00   1.22396852e+00   1.26475572e+00   1.43703140e+00
   1.37638662e+00   1.52037781e+00   1.51839417e+00   1.56391705e+00
   1.61338841e+00   1.65248897e+00   1.70195346e+00   1.75316264e+00
   1.80905059e+00   1.88905002e+00   1.92321691e+00   1.99802019e+00
   2.15254450e+00   2.27899798e+00   2.35053676e+00   2.63403155e+00
   2.62932688e+00   2.82546055e+00   3.17228865e+00   3.34632117e+00
   3.70634662e+00   3.82844550e+00   4.49005598e+00   4.99205652e+00
   5.48910643e+00   6.66989233e+00   7.59671977e+00   1.00522072e+01]"
